nitens W=1000 W=2000 W=5000 W=10000
120	 0.041	0.041	0.041	0.041	
250	 0.074	0.073	0.073	0.073	
500	 0.203	0.202	0.206	0.202	
1000 0.708	0.71	0.711	0.708	   
